абитуриент;выпускник
завоёвывать;недостойный
завозить;отвозить
завораживать;расколдовывать
завтрашний;прошлый
завысить;занизить
завышать;занижать
завышаться;снижаться
завышение;занижение
завядать;расцветать
завязаться;кончиться
завязка;развязка
завянуть;расцвести
загадочность;нормальность
загадывание;отгадывание
загасить;воспламенить
заглаживать;усиливать
заглушаться;возникать
заглушение;заведение
заговаривать;замолкать
загонять;выгонять
загорание;потухание
загорелый;бледный
заготавливать;тратить
заготовить;потратить
заготовка;продажа
заготовлять;тратить
заграничный;внутренний
загрустить;обрадоваться
загубить;приобрести
загустеть;разжидиться
зад;перед
задвигать;открывать
задержанный;ускоренный
задерживание;ускорение
задождить;разведриться
задок;передок
задолго;с
задремать;проснуться
заедать;работать
заезжать;уезжать
заездить;оригинальный
зажжение;конец
зажмуривать;открывать
зазорный;похвальный
заимодавец;должник
заимодатель;должник
закабаление;освобождение
закабалить;свободный
закабаляться;освобождаться
заказывать;дозволять
закалённость;неустойчивость
закалка;неустойчивость
закамуфлировать;открытый
закатать;раскатать
закатиться;взойти
закатывать;раскатывать
заклиниваться;работать
заключаться;расторгаться
закомплексованность;решительность
законник;преступник
законнорождённый;внебрачный
закончить;начать
закопать;вырыть
закорачивать;удлинять
закордонный;внутренний
закоротить;разобщённый
закрепостить;освободить
закрепощаться;освобождаться
закрепощение;освобождение
закруглённый;прямая
закрутить;раскрутить
закрываться;открываться
закрыться;открыться
закупаться;реализовываться
залежалый;свежий
залезать;вылезать|понижаться
заливать;открывать
заложить;освободить
замазка;процветание
замалчивание;афиширование
замалчивать;рассекречивать
замедлить;ускорить
заменитель;оригинал
заменять;оставлять
замерзание;плавление
замёрзнуть;согреться
замеряться;отчисляться
замещать;оставлять
замещение;оставление
замирать;шуметь
замкнуто;общительно
замкнутость;объединение
замолчать;возникнуть
замораживание;ускорение
заморённый;свежий
заморозка;оттепель|ускорение
замыкательный;демонтажный
замыкаться;размыкаться
замысловато;просто
замысловатость;простота
замысловатый;простой
занижать;преувеличивать
занижаться;преувеличиваться
занизить;преувеличить
заносить;выписывать
заныкать;выявить
занятие;безделье
западнее;восточнее
западный;восточный
запаздывание;ускорение
запаивать;открывать
запаковывать;распаковывать
запаливать;тушить
запальчивый;сдержанный
запамятовать;вспомнить
запасать;тратить
запасный;главный
запасти;потратить
запастись;потратить
запачкать;чистый
запереть;отпереть
запечатление;забывание
запечатывать;распечатывать
запирать;открывать
заплакать;засмеяться
заплести;расплести
заплетать;расплетать
заплетаться;расплетаться
заповедать;разрешить
запоздалый;ранний
заполнение;изъятие
заполниться;опустеть
заполонить;опустошить
заполонять;освобождать
запоминание;забывание
запоминать;забывать
запоминаться;забываться
запомнить;забыть
запомниться;забыться
заправдашный;ненатуральный
заправлять;подчиняться
запрашивать;отвечать
запретительный;разрешительный
запрещаться;разрешаться
запрещение;разрешение
запрос;ответ
запрудить;освободить
запрягать;распрягать
запрятываться;обнаруживаться
запуск;выключение
запутанность;порядок
запутываться;упрощаться
заразный;чистый
заранее;после
зарисовать;нестабильный
заря;закат
заряжать;разряжать
засасывать;выделять
засветло;затемно
засвидетельствовать;опровергнуть
засев;жатва
засевание;жатва
заселение;выдворение
заслуженно;незаслуженно
заслуженный;незаслуженный
заслужить;потерять
заслушать;проигнорировать
заслушивать;недослушивать
засовывать;высовывать
засохнуть;влажный
заставить;подчиниться
заставлять;подчиняться
застарелый;прогрессивный
застёгивать;расстёгивать
застегнуть;расстегнуть
застенчивый;смелый
застопорить;ускорить
застопориться;ускориться
застраховаться;погибнуть
застревать;работать
заступить;оставить
застывание;разрежённость
засыхать;расцветать
затасканность;необычность
затасканный;новый
затвердевать;разжижаться
затворить;отворить
затвориться;отвориться
затворяться;открываться
затевать;завершать
затейливо;просто
затейливость;простота
затейливый;простой
затем;близкий
затемнение;освещение
затемняться;светиться
затенять;освещать
затеять;завершить
затихание;разгорание
затишье;шум
затмить;принизить
затопка;тушение
затормаживать;ускорять
заторможенный;ускоренный
затормозиться;ускориться
заточение;освобождение
затрата;прибыль
затруднение;лёгкость
затруднительно;лёгкий
затрудниться;ослабиться
затрудняться;проясняться
затуманить;ускорить
затухать;разгораться
затушить;зародить
затхлый;свежий
затыкать;открывать
затяжной;короткий
затянуться;укоротиться
заузить;расширенный
зафаршировать;изъять
зафрахтовывать;увольнять
захварывать;выздоравливать
захват;поражение
захватанный;свежий
заходить;разворачивать
зацепление;разъединение
зацеплять;отцеплять
зацепляться;отцепляться
зачаться;исчезнуть
зачертить;вписанный
зачинка;сглаживание
зашабашить;начать
зашифровать;декодировать
зашифровывать;декодировать
защёлкнуть;открытый
защитительный;обвинительный
защититься;напасть
защитник;нападение
защитный;захватнический
защищённость;беззащитность
заявить;промолчать
заявлять;молчать
звать;отталкивать
зверинец;вынимание
зверский;гуманный
звонкий;глухо|глухой
звонкость;глухость
звучание;тишина
здесь;там
здороваться;прощаться
здоровье;болезнь
здравствовать;отсутствовать
зек;освобождение
зелёный;спелый
земельный;промышленный
земля;небо
зенит;спад
зернистость;ровность
зернистый;ровный
зима;лёт|лето
зимний;летний
злоба;добро
злобно;дружелюбно
злонамеренный;непредумышленный
злостно;случайно
злостность;добросовестность
злостный;честный
злосчастие;счастье
злосчастье;счастье
злоумышлять;укрепляться
злой;добродушный
змеевидный;прямая
знаменательность;незначительность
знаменовать;опровергать
знаток;невежда
зрение;слепота
зрячий;слепой
зубастый;беззубый
игрушечный;габаритный
идеализм;материализм
идеалист;материалист
идеалистически;материалистически
идеалистический;материалистический
идеолог;практичный
идти;стоять
иды;периферия
из;в
избавляться;приехать
избавить;быть
избегание;участие
избегать;участвовать
избежание;участие
избирательно;огульно
избирательность;огульность
избирать;назначать
извиваться;выпрямляться|прямая
извилистость;настильность
извилистый;прямая
извиняться;исполняться
извлекать;скрытый|ставить
изводиться;рождаться
изволить;зло
изгибаться;выпрямляться|прямая
изглаживаться;находиться
изгнивать;расцветать
изголовье;изножье
издать;неизданный
изживание;гибель
изживаться;появиться
изжить;породить
излагать;молчать
изладить;сломать
излечиваться;заболевать
излечиться;заболеть
изливаться;начинаться
изложить;промолчать
излучать;поглощать
излучение;поглощение
изматывать;взбадривать
изменяемость;постоянство
изменяться;устойчивый
изнаночный;прямая
изнашиваться;обновляться
изничтожение;возрождение
изнутри;снаружи
изобиловать;недостаточный
изобразить;скрыть
изобрести;правдивый
изолироваться;соединиться
изолятор;проводник
изоморфный;непохожий
израсходованный;обогатить
изрядно;мало
изрядный;недостаточный
изустный;письменный
изученный;неизведанный
изъедание;движение
изъедать;работать
изъявить;спрятать
изъявление;сокрытие
изящество;простота
иллюзия;реальность
иммунность;восприимчивость
импеданс;подчинение
императивность;нерешительность
империя;республика
импортёр;экспортёр
импортировать;экспортный
импульсивность;произвольность
имя;неизвестность
инвалидность;трудоспособность
инверсионный;прямая
инверсный;прямая
инвестиция;заём
индивидуализм;коллективизм
индивидуалист;коллективист
индивидуально;коллективно
индифферентность;заинтересованность
индифферентный;заинтересованный
индоссат;жирант
индукция;дедукция
инертно;активно
инкорпорирование;отключение
инкриминировать;оправдать
инкубация;наведение
иногда;всегда
иноплеменница;соотечественница
иноплеменный;туземный
инсайдерский;разоблачить
инстинкт;сознание
инстинктивно;сознательно
инстинктивный;сознательный
инструктивный;подчиняться
интегрировать;разъединить
интегрироваться;разъединиться
интеллектуал;невежда
интеллектуальный;материальный
интенсивность;слабость
интенсифицировать;затормозить
интервенция;невмешательство
интермиттировать;одинарный
интернациональный;национальный
интерьер;экстерьер
интроверт;экстраверт
интродукция;финал
интронизация;разрушение
интуитивный;сознательный
интуиция;сознание
инфекционный;чистый
инфляция;дефляция
информация;дезинформация
информированность;неосведомлённость
информировать;дезинформировать
ионтофорез;заключение
иррациональный;познаваемый
ирреальный;существовать
искалеченный;трудоспособный
искать;находить
исковеркивать;улучшать
исковеркиваться;облагораживаться
искривить;выпрямить
искуситься;новичок
искусственность;естественность
искушённость;неопытность
испачкать;свежий
исповедальный;недоверчивый
исполниться;расстроиться
использование;нарушение
использованный;неиспользованный
использовать;обогащать
исправимость;непоправимость
исправиться;ухудшиться
испытать;отдать
истасканность;незаурядность
истасканный;оригинальный
истереть;оригинальный
истирание;создание
исток;устье
истолковать;запутать
исторгать;впитывать
истратить;прибыльный
истребительный;спасительный
истый;ненастоящий
итоговый;начальный
итожить;отнимать
кавардак;восстановление
каверзный;простой
казаться;теряться
казённый;личный
какой-либо;избранный
калечить;улучшать
каляный;сгибать
каменеть;разжижаться
камуфлирование;открытие
канальский;честный
кантовать;выпрямлять
каперствовать;отдавать
капитализм;коммунизм
капиталистический;коммунистический
капиталист;пролетариат
капитулярий;преступление
кар;награда
карабкаться;снижаться
кардинальность;несущественность
картинный;неяркий
кассовый;проигрышный
катализироваться;тормозиться
категорично;нерешительно
качать;останавливать
качаться;стабилизироваться
каша;порядок
квадруплекс;разрозненность
квартирант;хозяин
квартирантка;хозяйка
келейность;доступность
кидание;учитывание
кидать;ловить
киклоп;карлик
кинуть;прийти
кипучий;слабый
кисло;сладкий
кислота;сладость
кислый;сладкий
кладеный;женатый
клановый;личный
клеймить;одобрять|оправдывать
клиент;продавец
клиентура;продавец
книжность;конкретность
книжный;конкретный
княжество;республика
к;от
коварный;простодушный
ковкость;жёсткость
кодирование;дешифрирование
кодировать;расшифровать
коллаборационистский;верный
коллективизм;индивидуализм
коллективист;индивидуалист
коллективно;индивидуально
коллективный;личный
колобродить;украшать
колон;арендодатель
колонизировать;выдворяться
колонизовать;необитаемый
колония;выселение
колотиться;замереть
колыхать;останавливать
кольцевой;прямая
кольцеобразный;прямая
колючий;гладкий
командование;недостаток
командовать;подчиняться
комбинированный;простой
комедийный;грустный
комедия;трагедия
комизм;трагизм
комически;трагически
комично;трагично
коммунизм;капитализм
коммунистический;капиталистический
компаньон;конкурент
компаньонка;конкурентка
компенсированный;колебаться
компенсироваться;наноситься
комплектовать;расформировывать
комплементарность;несоответствие
комплиментарный;неблагоприятный
компрометировать;прославлять
комфорт;неудобство
конвергентность;расходимость
конденсирование;ослабление
конкретно;плохо
конкретность;отрицательность
конкуренция;партнёрство
консерватизм;реформаторство
консистентный;противоречивый
консолидирование;разъединение
конспективно;длинно
константа;переменная
конструирование;уничтожение
конструктивность;лень
контагиозный;чистый
контрапост;дружественность
контрарный;прямая
контратака;атака
контратаковать;атаковать
контрдовод;согласие
контроверза;согласие
контрреволюция;революция
конунг;подчинённый
конфискация;приобретение
конфисковать;отдать
концентрироваться;растягиваться
конъюнкция;дизъюнкция
кооперация;разъединение
координационный;подчиняться
координированный;дисгармонический
координировать;раскоординировать
копеечность;расточительность
копировать;останавливать
копыто;воскреснуть
корм;нос
коробиться;выпрямляться
королевство;республика
короноваться;закончиться
короткополый;увеличенный
корректив;порча
корректировать;портить
корректность;неправильность
корректура;ухудшение
корригировать;портить
коррумпированный;принципиальный
корыстолюбивый;неподкупный
корысть;бескорыстие
костяк;периферия
кочевой;оседлый
краеугольный;второстепенный
край;рождение
крамольность;законность
крамольный;законный
красавец;урод
красивость;некрасивость
красить;безобразить
краснеть;бледнеть
красный;белый
красть;приносить
кратный;простой
кредит;дебет
кредитор;должник
кренить;выпрямлять
кривда;правда
кривизна;прямизна
криво;прямо
криводушие;искренность
кривая;прямая
криволинейный;прямолинейный
крикливый;молчаливый
крик;шёпот
крикун;молчун
кристальный;запятнать
критиковать;хвалить
кровавый;бескровный
кровопийство;милосердие
круглосуточно;изменчиво
круглый;прямая
крупнеть;мельчать
крупно;мелкий
кручина;радость
кручиниться;радоваться
крушиться;создавать
крылатость;бескрылость
крылатый;бескрылый
куковать;действовать
кулуарный;гласный
кульминация;спад
культивировать;уничтожать
культура;бескультурье
кураж;опасение
кустистый;жидкий
куцый;содержательный
кучность;рассеяние
лаба;безделье
лад;разлад
ладиться;неудача
ладить;бездействовать
лакомый;отталкивать
ламинарный;ребристый
лапидарный;длинный
ласковость;неприятие
латентный;явный
лево;право
леветь;праветь
легально;нелегально
легковерие;недоверие
легковерность;недоверие
легковесно;тяжеловесно
легковесный;тяжеловесный
легкодумный;заботливый
легкомысленно;серьёзно
легкомысленность;серьёзность
легчать;усиливаться
лёд;огонь
лежалый;свежий
лёжка;трата
лезть;вылезать
лектор;слушатель
лениво;трудолюбиво
лениться;трудиться
лентяйство;деятельность
ленца;добросовестность
лестность;негативность
лестный;негативный
летний;зимний
лето;зима
лёт;зима
лечь;встать
лживый;правдивый
лидер;подчинённый
лизоблюд;господин
ликвидирование;создание
ликвидный;неликвидный
ликование;скорбь
линия;горизонталь
линять;обрастать
липовый;неподдельный
лирический;твёрдый
лицемерно;искренний
лицемерность;правдивость
лишек;недостаток
ловкий;неловкий
логик;случайность
логично;непоследовательно
логичный;противоречивый
лодырничать;трудиться
лодырь;труженик
ложно;истинно
локализация;зависимость
локализироваться;рассеяться
локализовать;распределить
ломка;постоянство
лоскутный;полный
лохматый;причёсанный
лояльность;неверность
лукаво;простодушно
лукавство;простодушие
лучистый;поглощать
лучить;поглощать
лучше;плохо
льготный;платный
льзя;нельзя
любезно;нелюбезно
любимец;опальный
любитель;профессионал
любительский;профессиональный
любить;ненавидеть
любовница;супруг
любовный;беспечный
люди;нелюдь
людоед;филантроп
лютый;человечный
ляп;правильность
мажор;минор
мажорно;минорно
мажорный;минорный
мазать;открывать
мазурничество;честность
майна;вверх
макать;вынимать
макиавеллистический;верный
макроскопический;неочевидный
максимально;минимально
маловероятность;уверенность
малодоказательный;обоснованный
малодушество;храбрость
малокалиберный;крупнокалиберный
малолетний;совершеннолетний
малолетство;совершеннолетие
малолюдный;многочисленный
малонаселённый;густонаселённый
малоопытность;искушённость
малоразвитый;развитый
малоразговорчивый;говорливый
малоречивость;многословность
малосостоятельный;доказательный
малость;множество
малосущественный;серьёзный
малоубедительность;убедительность
малоустойчивый;стабильный
малоэффективный;производительный
мальчишеский;осторожный
мандраж;спокойствие
манить;отталкивать
манкий;перевес
манускрипт;фальшивка
маразм;развитие
мариновать;ускорять
массивность;слабость
мастер;невежда
маститый;бедный
масштаб;длина
материализм;идеализм
материализоваться;расстроиться
материалист;идеалист
материалистически;идеалистически
материалистический;идеалистический
материя;дух
матёрость;неопытность
матовость;чёткость
махать;стабилизировать
мгновение;вечность
мёд;полынь
медицинский;безжалостный
международный;национальный
межнациональный;национальный
мелководный;глубинный
мелкокалиберный;крупнокалиберный
мель;глубина
мельчать;крупнеть
мемориальный;забвенный
меньшинство;большинство
менять;оставлять
мерзкий;приятный
мёрзлый;ускоренный
мериться;сотрудничать
меркантилистический;бескорыстный
мерно;неравномерно
мерность;неритмичность
мертвечина;жизнь
метафизик;диалектик
метафизически;диалектически
метафизичность;конкретность
метек;соотечественник
метеорологический;подробный
метисация;разъединение
мефистофельский;добрый
мечта;явь
мечтательный;осуществимый
мешкать;торопиться
миг;вечность
мизерный;большой
микроскопический;большой
микроскопичный;открытый
милитаризм;миролюбие
милитарист;пацифист
милосердие;жестокость
милосердный;жестокий
миновать;возобновиться
минор;мажор
минорно;мажорно
минорный;весёлый
минусовый;плюсовый
минута;вечность
минутка;вечность
миопия;дальновидность
мирить;ссорить
мириться;ссориться
миролюбие;враждебность
мистический;понятный
мифичность;достоверность
мишурный;внутренний
младенец;старец
младший;старший
многий;немногий
многогранно;односторонне
многозначность;единственность
многозначный;однозначный
многообразность;однообразие
многоплановый;односторонний
многопудовый;необоснованный
многосторонний;односторонний
многострадальный;счастливый
многофункциональный;узкий
многоцветность;однообразие
многочисленность;исчислимость
многочисленный;малочисленный
многочлен;одночлен
многоэтажный;одноэтажный
множественность;однозначность
множество;меньшинство
мобилизация;демобилизация
мобилизовать;демобилизовать
могильный;живой
модернизирование;ухудшение
модификация;застой
модифицировать;стабильный
мода;молодеть
можно;нельзя
мозговитый;глупый
мокро;сухо
мокрота;сухость
мокрый;сухой
молниеносность;медленность
молодёжь;старик
молоденький;старенький
молодить;старить
молодость;старость
молодший;старший
молчальник;говорун
молчать;звуковой
момент;конец
моногамический;полигамный
монолитность;разъединение
монотеизм;многобожие
монохроматический;разноцветный
монохроматичность;разноцветность
монтажный;демонтажный
монтирование;разборка
монументальный;маленький
мор;жизнь
мораль;безнравственность
морозостойкий;теплолюбивый
моросить;лить|проливной
мотать;разматывать
мотив;следствие
мотивированный;бездоказательный
мотовство;накопительство
мочить;сушить
мрак;свет
мракобесный;реформаторский
мрачнеть;светлеть
мудро;глупо
мудрость;глупость
мужественность;трусость
мужик;баба
мужиковатый;вежливый
мужской;женский
мужчина;женщина
мука;радость|счастье
мультипликация;уменьшение
мумиё;лучший
мутность;прозрачность
мучение;радость
мучительно;блаженно
мучительность;обыденность
мучительный;радостный
мыслитель;невежда
мыслительный;невозможный
мыть;чистить
мягкосердечный;злой
мягчение;волнение
мятеж;спокойствие
набегать;уменьшаться
набело;начерно
набивка;выем
набирание;увольнение
набирать;тратить
набираться;терять
набить;опустошить
набиться;опустошиться
наблюдать;игнорировать
наблюдаться;скрываться
набрать;неукомплектованный
набрасываться;защищаться
набраться;израсходоваться
наверх;вниз
наверху;внизу
наводить;уничтожать
наводнение;засуха
наводниться;опустеть
навсегда;временно
навьючивать;снимать
нагибаться;разгибаться
нагловатый;стыдливый
нагнетать;разрежать
наговорить;промолчать
наговориться;намолчаться
награждение;порицание
нагревать;охлаждать
нагретый;холодный
нагреть;охладить
нагружаться;выгружаться
надводный;подводный
надевать;снимать
наделять;лишать
надземный;подземный
надзиратель;заключённый
над;под
надолго;ненадолго
надорваться;восстановиться
надписывать;выписывать
надрыв;естественность
надрывный;естественный
надсадить;восстановить
надувательство;порядочность
надуваться;сжиматься
надуться;дряблый
наёмка;увольнение
нажаривать;охлаждать
нажим;свобода
нажить;потерять|прожить
назади;спереди
наземный;подземный
назидательный;легкомысленный
назначать;избирательный|избирать
назначить;избранный
назреть;неуместный
наиболее;наименее
наивность;недоверчивость
наигранный;настоящий
наизволок;вниз
накалить;холодный
накаливание;охлаждение
накалиться;улучшиться
накалка;охлаждение
накануне;поздний
накапливание;расходование
накладистый;высокодоходный
накладывать;выкладывать
наклеивать;отклеивать
наклон;снижение
наклонение;повышение
наклонный;прямая
наклоняться;выпрямляться
накренять;выпрямлять
накручивать;раскручивать
накручиваться;раскручиваться
накрывать;открывать
накутывать;снимать
налаживание;ссора
налёт;отражение
налетать;защищаться
наливать;выливать
налипание;расходование
налипать;тратиться
наличествование;пропажа
наличествовать;отсутствовать
наличие;отсутствие
наличность;отсутствие
налог;восход
наложить;взять
наматывать;разматывать
намеднишний;давний
намеренно;случайно
наместник;предшественник
намётанный;неопытный
намного;незначительно
намолачивать;отдавать
намолчаться;наговориться
намочить;высушить
наниматься;увольняться
наносить;зачёркивать
наносный;свойственный
наоборот;прямо
наобум;рассчитать
наотрез;нерешительно
напарник;противник
наперво;пот
напиваться;протрезвляться
наплакаться;насмеяться
наплевательский;аккуратный
напоить;блёклый
наползти;отойти
наполненность;бессодержательность
наполнить;бессодержательный
наполняться;освобождаться
направлять;подчиняться|присылать
направо;налево
напротив;сзади
напрягать;поощрение
напрямую;косвенно
нарастание;облегчение
нарастать;убывать
наращение;уменьшение
наращивать;ослаблять
наращиваться;уменьшаться
нард;зловоние
народный;личный
народоправство;тоталитаризм
нарождаться;подавляться
наружно;внутренне
наружный;внутренний
нарядный;повседневный
населённый;необитаемый
населять;пустовать
насильственный;добровольный
насмеяться;наплакаться
наставительный;легкомысленный
наставник;ученик
наставница;ученица
настигнуть;потерять
настильность;крутизна
настильный;крутой
настичь;потерять
настойчивость;податливость
настроенный;разобрать
настройка;разборка
наступательность;пассивность
насущность;неактуальность
насыпать;высыпать
насытиться;проголодаться
насыщать;недоставать
наталкиваться;терять
натащить;ослабить
натиск;отпор
наторелый;неопытный
натурально;искусственно
натягиваться;провисать
натяжка;сжатие
натянуть;сбросить
наугад;прицельно
наука;невежество
научить;отучить
научиться;разучиться
нафантазировать;реальный
находить;терять
начальник;подчинённый
начальница;подчинённый
начальствовать;подчиняться
начерно;набело
начётистый;рентабельный
начин;окончание
начинание;остановка
начинка;выем
начистить;запачкать
начистую;частично
неавтоматизированный;автоматический
неавтоматический;автоматический
небелёный;мягкий
небесполезный;вредный
небесталанный;бездарный
неблаговидный;благовидный
неблагожелательно;дружественно
неблагожелательность;приязнь
неблагожелательный;дружественный
неблагонадёжность;прочность
неблагопристойный;благопристойный
неблагородно;благородно
неблагородный;благородный
неблагородство;благородство
неблагоустроенный;удобный
неблизкий;ближний
небо;земля
небогато;богато
небывальщина;бывальщина
небылица;быль
невдали;далёкий
невезучий;удаться
невеликий;большой
неверие;вера
неверно;истинно
невесело;весело
невесёлый;весёлый
невесомый;тяжёлый
невзгода;радость
невиданный;обыкновенный
невидящий;зрячий
невинность;виновность
невиновность;виновность
невиновный;виноватый
невоздержанный;холодный
невозмутимый;ограниченный
невольно;вольно
невообразимость;осуществимость
невооружённый;вооружённый
невосполнимый;оплачивать
невредимый;повредить
невыгода;выгода
невыгодно;выгодно
невыделанный;отделать
невыдуманный;искусственный
невыплаченный;оплатить
невыразительный;яркий
невысокий;высокий
негаданный;предусмотреть
негативизм;позитивизм
негативный;позитивно
негативность;позитивность
негодный;шедевр
неграмотно;грамотно
негромкий;шумный
недавно;задолго
недальнозоркость;предусмотрительность
недвижимость;мобильность
недвижность;подвижность
недейственный;полезный
недействительный;действительный
неделикатно;точно
недисциплинированный;исполнительный
недлинный;продолжительный
недобор;перебор
недобрать;перебрать
недоброжелатель;друг
недоброжелательность;доброжелательность
недоброжелательство;дружественность
недоброкачественность;пригодность
недоброхот;друг
недоброхотство;дружелюбие
недоваривать;переваривать
недоверчиво;доверчиво
недоверчивость;неосторожность
